                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 1.1638,                 1.3361,                0.78689,                0.94598,                0.70656,                0.65388,                0.71496,                0.46978,                0.69291,                0.61286,                0.66217,                0.35746,                 1.2172,                 1.4241,                0.82239,                0.94929,              0.0012592,              0.0012592,              0.0012592
                     39,                 1.1296,                 1.2812,                 0.7554,                0.93303,                0.76708,                0.67347,                0.74327,                0.49657,                0.74933,                0.62139,                0.68738,                 0.3724,                 1.1767,                 1.4022,                0.78294,                0.93902,              0.0012545,              0.0012545,              0.0012545
                     40,                 1.1246,                   1.31,                0.75403,                0.93211,                 0.7411,                0.65347,                0.71368,                0.47052,                0.69941,                0.60404,                0.65343,                0.35299,                 1.1921,                 1.3901,                0.79083,                0.93158,              0.0012498,              0.0012498,              0.0012498
                     41,                 1.1271,                 1.2898,                0.73899,                 0.9236,                0.72626,                0.68403,                0.74341,                0.49768,                0.71068,                0.61597,                0.68064,                0.36819,                 1.1803,                 1.4295,                0.80117,                0.95013,              0.0012451,              0.0012451,              0.0012451
                     42,                 1.1416,                 1.2975,                0.76608,                 0.9313,                0.74801,                0.68235,                0.74731,                0.49396,                0.70907,                0.63283,                0.68048,                0.37177,                 1.1925,                 1.4229,                0.76382,                0.94472,              0.0012404,              0.0012404,              0.0012404
                     43,                 1.1479,                 1.3242,                0.76009,                0.93448,                 0.7324,                0.68323,                 0.7439,                0.48841,                0.71988,                0.61294,                0.66721,                 0.3553,                 1.1973,                 1.4094,                0.78778,                0.94527,              0.0012357,              0.0012357,              0.0012357
                     44,                 1.1252,                 1.2989,                0.75476,                0.92481,                0.73465,                0.63833,                0.73182,                0.48695,                0.71056,                0.59151,                0.67733,                0.37569,                 1.1936,                 1.3944,                0.82813,                 0.9353,              0.0012309,              0.0012309,              0.0012309
                     45,                 1.1227,                 1.2837,                0.73377,                0.93283,                0.72181,                 0.7072,                0.74085,                0.49642,                0.69556,                0.66373,                0.68755,                0.37589,                 1.1785,                  1.337,                0.77556,                0.93868,              0.0012262,              0.0012262,              0.0012262
                     46,                 1.1333,                 1.2921,                0.76145,                0.93522,                0.76082,                0.68983,                0.74345,                0.48892,                0.72783,                0.60023,                0.64691,                0.34477,                 1.2214,                 1.3901,                0.78575,                0.95403,              0.0012215,              0.0012215,              0.0012215
                     47,                 1.1158,                 1.2922,                0.72583,                0.91909,                0.72678,                0.67394,                0.73771,                0.49615,                0.70165,                0.63622,                0.68447,                0.37758,                 1.1554,                 1.3383,                0.75855,                0.93546,              0.0012168,              0.0012168,              0.0012168
                     48,                 1.1137,                 1.2838,                0.72899,                0.92352,                0.80948,                0.63571,                0.74706,                0.50491,                0.77857,                0.60722,                0.69045,                0.38416,                 1.1357,                 1.3403,                0.75845,                0.93339,              0.0012121,              0.0012121,              0.0012121
                     49,                  1.129,                 1.3101,                0.73734,                0.92909,                0.76757,                0.67241,                0.74951,                0.50147,                 0.7246,                0.61322,                0.68487,                0.36714,                 1.1731,                 1.3706,                0.76161,                0.93442,              0.0012074,              0.0012074,              0.0012074
                     50,                 1.1275,                 1.2861,                0.72465,                0.92865,                0.73493,                0.68335,                0.74689,                0.49773,                0.71592,                0.61213,                0.67211,                0.36214,                 1.1538,                 1.3896,                0.76478,                0.93418,              0.0012026,              0.0012026,              0.0012026
                     51,                 1.1299,                 1.3195,                0.71635,                0.92385,                0.74146,                0.69232,                0.74947,                0.49021,                 0.7595,                0.62955,                0.69689,                0.36283,                  1.184,                 1.3737,                0.76543,                0.93624,              0.0011979,              0.0011979,              0.0011979
                     52,                 1.1153,                  1.292,                0.72474,                 0.9167,                0.70967,                0.69175,                 0.7439,                0.50503,                0.68006,                0.64122,                0.69411,                0.38673,                 1.1321,                 1.3521,                0.77391,                0.93102,              0.0011932,              0.0011932,              0.0011932
                     53,                 1.0963,                 1.2787,                0.70572,                0.91801,                 0.7499,                0.69494,                 0.7511,                 0.5094,                0.73004,                0.63902,                 0.6846,                0.36833,                 1.1509,                 1.3535,                0.74839,                0.93781,              0.0011885,              0.0011885,              0.0011885
                     54,                 1.1164,                 1.2667,                 0.7292,                0.92485,                0.75532,                0.68237,                0.75371,                0.50382,                0.72493,                0.63645,                 0.6914,                0.36754,                 1.1649,                 1.3657,                 0.7671,                0.93348,              0.0011838,              0.0011838,              0.0011838
                     55,                 1.1096,                 1.2602,                0.71789,                0.92036,                0.82428,                0.64273,                0.74555,                0.49697,                0.78393,                0.60873,                0.69086,                0.37194,                 1.1583,                 1.3335,                0.76539,                0.93736,              0.0011791,              0.0011791,              0.0011791
                     56,                 1.1064,                 1.2543,                0.70721,                0.92142,                0.76179,                0.71444,                0.76386,                0.50346,                 0.7321,                 0.6698,                0.70918,                0.38049,                 1.1985,                 1.3635,                0.74884,                0.95129,              0.0011744,              0.0011744,              0.0011744
                     57,                  1.093,                 1.2699,                0.71116,                0.91364,                0.69326,                 0.6693,                0.73813,                  0.492,                0.68329,                0.60909,                0.67395,                0.35992,                 1.1446,                 1.3667,                0.80808,                0.92535,              0.0011696,              0.0011696,              0.0011696
                     58,                 1.0717,                  1.269,                0.70742,                0.91658,                0.75248,                0.66563,                0.74846,                0.50424,                0.72136,                0.63619,                0.70018,                0.37336,                 1.1519,                 1.4121,                0.74157,                0.93163,              0.0011649,              0.0011649,              0.0011649
                     59,                 1.0904,                 1.2262,                0.70836,                0.90719,                0.77204,                0.68015,                0.75783,                0.50615,                0.78208,                0.60648,                0.69687,                0.37343,                 1.1619,                 1.3484,                0.74957,                0.94084,              0.0011602,              0.0011602,              0.0011602
                     60,                 1.0899,                 1.2568,                0.69174,                0.91399,                 0.6783,                0.67771,                 0.7213,                0.47904,                0.65665,                0.61923,                0.64637,                0.33608,                 1.1737,                 1.4151,                0.77994,                0.93734,              0.0011555,              0.0011555,              0.0011555
                     61,                 1.0957,                 1.2717,                0.71675,                0.91182,                0.80637,                0.69799,                0.76785,                0.51802,                0.74345,                0.64314,                0.70006,                0.37683,                 1.1425,                 1.3357,                0.74523,                0.91896,              0.0011508,              0.0011508,              0.0011508
                     62,                 1.0941,                 1.2597,                0.70256,                0.92016,                 0.7915,                 0.6839,                0.76401,                0.51795,                0.76714,                0.62758,                0.69264,                0.37886,                 1.1481,                 1.3288,                0.74919,                0.92979,              0.0011461,              0.0011461,              0.0011461
                     63,                 1.0944,                 1.2388,                 0.7055,                0.91032,                  0.775,                0.70952,                0.75769,                0.49704,                 0.7466,                0.64088,                0.68519,                0.35282,                 1.1847,                 1.3664,                0.72608,                0.93022,              0.0011413,              0.0011413,              0.0011413
                     64,                  1.084,                 1.2697,                0.70544,                0.91319,                0.76216,                0.68053,                0.74494,                0.49775,                0.73822,                0.63732,                0.68923,                0.37066,                 1.1393,                  1.327,                0.76938,                0.92724,              0.0011366,              0.0011366,              0.0011366
                     65,                 1.0921,                 1.2457,                0.69963,                0.91576,                 0.7234,                0.68512,                0.73882,                0.49087,                0.68965,                0.64214,                0.67449,                0.35447,                 1.1407,                 1.3803,                0.77609,                0.92041,              0.0011319,              0.0011319,              0.0011319
                     66,                 1.0494,                 1.2205,                0.68243,                0.90977,                0.79213,                0.71178,                0.77722,                0.52166,                 0.7578,                0.64881,                0.71246,                0.38767,                 1.1459,                 1.3053,                0.72014,                 0.9277,              0.0011272,              0.0011272,              0.0011272
                     67,                 1.0561,                 1.2372,                0.67994,                0.91453,                0.73523,                0.73254,                0.76781,                0.51818,                0.76628,                0.62485,                0.70383,                0.38231,                 1.1502,                 1.3655,                0.71281,                0.93498,              0.0011225,              0.0011225,              0.0011225
                     68,                 1.0866,                 1.2233,                0.67768,                0.91069,                0.81286,                0.69987,                0.77822,                0.51698,                0.76478,                0.64635,                0.69313,                 0.3669,                 1.1559,                 1.3652,                0.71802,                0.93282,              0.0011178,              0.0011178,              0.0011178
                     69,                 1.0835,                  1.244,                 0.6722,                0.90733,                0.77196,                0.70209,                0.76937,                0.51908,                0.78031,                0.63992,                0.72346,                0.38842,                 1.1405,                 1.3525,                0.70449,                0.93503,               0.001113,               0.001113,               0.001113
                     70,                 1.0769,                 1.2321,                0.69315,                0.91171,                0.70518,                0.69447,                0.74368,                0.48934,                0.68655,                0.62852,                  0.677,                0.36112,                 1.1855,                 1.3499,                0.77688,                 0.9417,              0.0011083,              0.0011083,              0.0011083
                     71,                 1.0892,                 1.2638,                0.68722,                0.91679,                0.76778,                0.67384,                0.76265,                0.51704,                0.73897,                0.62945,                0.70264,                0.36734,                  1.127,                 1.3321,                0.73212,                0.92388,              0.0011036,              0.0011036,              0.0011036
                     72,                 1.0589,                 1.2382,                0.67552,                0.91098,                0.77355,                0.68062,                0.76206,                0.50708,                   0.78,                0.61517,                0.68247,                0.36782,                 1.1507,                 1.3324,                0.73458,                0.93131,              0.0010989,              0.0010989,              0.0010989
                     73,                 1.0408,                 1.2219,                0.66507,                0.90776,                0.80051,                0.69951,                0.77779,                0.52473,                0.75764,                0.65353,                0.70936,                0.38097,                  1.129,                 1.3375,                0.69581,                0.93122,              0.0010942,              0.0010942,              0.0010942
                     74,                 1.0586,                 1.2054,                0.66666,                0.90482,                0.78164,                0.66133,                0.75524,                0.51226,                0.73405,                0.63986,                0.70836,                0.39577,                 1.1529,                 1.3291,                0.72611,                0.92812,              0.0010895,              0.0010895,              0.0010895
                     75,                 1.0288,                 1.2006,                0.64136,                0.91047,                0.75775,                0.72823,                0.76873,                 0.5153,                0.75524,                0.64697,                0.70074,                0.37596,                  1.136,                 1.3216,                0.71642,                 0.9334,              0.0010848,              0.0010848,              0.0010848
                     76,                 1.0604,                 1.2295,                0.67211,                0.90686,                0.83457,                0.69375,                0.77792,                0.51934,                0.79286,                0.65295,                0.72153,                0.38589,                  1.159,                 1.3336,                0.70404,                0.94037,                0.00108,                0.00108,                0.00108
                     77,                 1.0542,                 1.2386,                 0.6579,                0.91514,                0.76632,                0.71537,                0.77135,                0.51437,                0.73469,                0.65732,                0.70821,                0.37241,                 1.1323,                 1.3298,                  0.707,                0.92547,              0.0010753,              0.0010753,              0.0010753
                     78,                 1.0541,                 1.2418,                0.66533,                0.90858,                 0.7766,                0.71318,                0.76919,                0.52187,                0.75559,                0.66099,                0.71349,                 0.3938,                 1.1287,                 1.3215,                0.70684,                0.93144,              0.0010706,              0.0010706,              0.0010706
                     79,                 1.0421,                 1.1836,                 0.6562,                0.89941,                0.79043,                0.70795,                0.78243,                0.52054,                0.73403,                 0.6505,                0.70449,                0.37776,                  1.139,                  1.329,                0.70356,                0.93479,              0.0010659,              0.0010659,              0.0010659
                     80,                 1.0495,                 1.1995,                0.66477,                0.89976,                0.77165,                0.67045,                0.76368,                0.50358,                0.73335,                0.61366,                0.68418,                0.37451,                 1.1693,                  1.358,                0.75038,                0.93893,              0.0010612,              0.0010612,              0.0010612
                     81,                 1.0361,                 1.1722,                0.65757,                0.90001,                0.77553,                0.72415,                0.77513,                0.50817,                0.78463,                0.65549,                0.71361,                0.38177,                 1.1586,                 1.3608,                0.72659,                0.94239,              0.0010565,              0.0010565,              0.0010565
                     82,                 1.0247,                 1.2045,                0.63707,                0.90441,                0.81893,                0.67229,                0.76483,                0.51928,                0.79888,                0.63495,                0.70598,                 0.3901,                 1.1266,                 1.3241,                0.70937,                0.93369,              0.0010517,              0.0010517,              0.0010517
                     83,                 1.0416,                 1.2253,                0.66944,                0.90396,                0.76889,                0.72058,                0.77763,                0.51863,                0.72618,                0.64794,                0.69539,                0.36748,                 1.1639,                 1.3321,                 0.6963,                0.93923,               0.001047,               0.001047,               0.001047
                     84,                 1.0401,                 1.2429,                0.66142,                 0.9036,                0.79845,                 0.7092,                0.77934,                0.53036,                0.73332,                0.68401,                0.72541,                0.39223,                 1.1085,                 1.2986,                0.68656,                0.92008,              0.0010423,              0.0010423,              0.0010423
                     85,                 1.0182,                 1.1722,                0.64021,                0.89823,                0.78689,                0.66358,                0.76516,                0.50912,                0.73757,                0.60964,                0.68089,                0.36771,                  1.137,                 1.3529,                0.72903,                0.92406,              0.0010376,              0.0010376,              0.0010376
                     86,                 1.0303,                 1.1842,                0.64368,                0.89959,                0.80651,                0.69997,                0.78388,                0.52372,                0.75155,                0.64133,                0.69914,                0.37346,                 1.1385,                 1.3284,                0.72658,                0.93618,              0.0010329,              0.0010329,              0.0010329
                     87,                 1.0354,                 1.1845,                0.66405,                 0.9029,                0.77054,                0.72464,                0.78098,                 0.5281,                0.75199,                 0.6344,                0.70835,                0.38477,                 1.1346,                 1.3199,                0.70289,                0.93349,              0.0010282,              0.0010282,              0.0010282
                     88,                  1.027,                  1.196,                0.65591,                0.90436,                0.77005,                0.70198,                0.77408,                0.52144,                0.76614,                0.64073,                 0.7223,                0.39304,                 1.1161,                 1.3269,                0.71284,                0.92591,              0.0010234,              0.0010234,              0.0010234
                     89,                 1.0113,                 1.1909,                0.62466,                0.89125,                0.77083,                0.71158,                0.78004,                0.52592,                0.74554,                0.66393,                0.71429,                0.39209,                 1.1027,                 1.3162,                0.71181,                0.92214,              0.0010187,              0.0010187,              0.0010187
