                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.1779,                 1.3623,                0.78115,                0.92417,                0.73777,                 0.6351,                0.71744,                 0.4755,                0.71309,                0.60988,                0.67593,                0.36666,                 1.2055,                 1.4173,                0.82673,                0.93909,              0.0012847,              0.0012847,              0.0012847
                     54,                 1.1798,                 1.3386,                0.81183,                  0.928,                 0.7136,                0.67324,                0.72594,                0.47512,                 0.6695,                0.63369,                0.66124,                0.35983,                 1.2312,                 1.4172,                0.83845,                0.93774,              0.0012819,              0.0012819,              0.0012819
                     55,                 1.1943,                 1.3675,                0.79568,                0.92769,                0.76538,                0.64836,                0.71697,                0.46755,                0.71818,                0.60215,                0.65254,                0.35103,                 1.2272,                  1.404,                0.83174,                0.93908,               0.001279,               0.001279,               0.001279
                     56,                 1.2035,                  1.365,                0.79073,                0.93525,                0.77577,                0.66949,                0.73903,                0.47273,                0.74838,                0.62332,                0.68478,                0.36538,                   1.24,                 1.4263,                0.79043,                0.93811,              0.0012762,              0.0012762,              0.0012762
                     57,                 1.1852,                 1.3953,                0.78541,                0.92098,                0.70599,                0.63841,                0.72063,                0.46682,                0.69618,                0.58546,                0.66867,                0.35332,                 1.2486,                  1.433,                0.85773,                0.94817,              0.0012734,              0.0012734,              0.0012734
                     58,                 1.1617,                 1.3561,                0.78663,                0.92447,                0.74744,                0.66889,                0.72523,                0.47211,                0.71178,                0.61668,                0.66718,                0.35804,                 1.2216,                 1.4438,                0.79808,                0.93474,              0.0012706,              0.0012706,              0.0012706
                     59,                 1.1744,                 1.3136,                0.77634,                 0.9136,                0.74933,                0.66814,                0.72567,                0.48116,                0.71138,                0.63206,                0.68152,                0.37038,                 1.2035,                 1.4453,                0.79283,                0.92728,              0.0012677,              0.0012677,              0.0012677
                     60,                 1.1882,                 1.3452,                0.77215,                0.92197,                0.74599,                0.66614,                0.73148,                0.47447,                0.70011,                0.61513,                0.65055,                0.35446,                 1.2254,                  1.406,                0.79633,                0.92982,              0.0012649,              0.0012649,              0.0012649
                     61,                 1.1876,                   1.35,                0.79754,                0.92326,                0.77687,                0.65422,                0.73312,                0.48774,                0.72946,                0.61251,                0.67392,                0.36123,                   1.16,                 1.3893,                0.78359,                0.92041,              0.0012621,              0.0012621,              0.0012621
                     62,                 1.1995,                 1.3431,                0.78589,                0.93003,                 0.7579,                 0.6688,                0.73112,                0.47877,                0.72033,                0.62769,                0.67757,                0.37115,                 1.2272,                 1.3887,                0.80158,                0.93904,              0.0012592,              0.0012592,              0.0012592
                     63,                 1.1858,                  1.352,                0.77223,                0.92014,                0.77372,                0.67313,                0.73427,                0.46801,                0.71727,                0.62884,                0.67154,                0.35862,                 1.2613,                 1.4244,                0.79528,                0.94167,              0.0012564,              0.0012564,              0.0012564
                     64,                 1.1797,                 1.3766,                0.78155,                0.92819,                0.75829,                 0.6747,                0.72418,                 0.4796,                0.73258,                 0.6475,                0.68417,                0.37399,                 1.1993,                 1.3785,                0.80881,                0.93153,              0.0012536,              0.0012536,              0.0012536
                     65,                 1.1909,                 1.3583,                0.78924,                0.92802,                0.77076,                0.61379,                0.72183,                0.47027,                0.74053,                0.57417,                0.65831,                0.35687,                 1.2336,                 1.4329,                0.82687,                0.93335,              0.0012507,              0.0012507,              0.0012507
                     66,                  1.173,                 1.3499,                0.76534,                0.92549,                0.75292,                0.68391,                0.74423,                0.48711,                0.72172,                0.63504,                0.68627,                 0.3704,                 1.2034,                  1.382,                 0.7818,                0.92656,              0.0012479,              0.0012479,              0.0012479
                     67,                 1.1407,                 1.3247,                0.74981,                0.91934,                0.74015,                0.68673,                0.73459,                0.48299,                0.71572,                0.63204,                0.67761,                0.36338,                 1.2065,                 1.3964,                0.77479,                 0.9331,              0.0012451,              0.0012451,              0.0012451
                     68,                 1.1653,                 1.3106,                0.75502,                0.91883,                0.78694,                0.67079,                0.74377,                0.48895,                0.74873,                0.62419,                0.68754,                0.37601,                 1.2174,                 1.4236,                0.76604,                0.93149,              0.0012423,              0.0012423,              0.0012423
                     69,                  1.171,                 1.3365,                0.75444,                0.91653,                0.73901,                0.67976,                0.73391,                0.49125,                0.71334,                0.63786,                0.68219,                0.36639,                 1.1922,                 1.4143,                0.77405,                 0.9346,              0.0012394,              0.0012394,              0.0012394
                     70,                 1.1659,                 1.3316,                0.76922,                0.92234,                0.72759,                0.69177,                 0.7375,                0.48211,                 0.6799,                0.64758,                0.68065,                0.36068,                 1.2233,                 1.3787,                0.77638,                0.93195,              0.0012366,              0.0012366,              0.0012366
                     71,                 1.1643,                 1.3571,                0.75425,                0.92199,                0.75793,                0.66817,                 0.7449,                0.49657,                0.71125,                0.62642,                0.68144,                0.37713,                 1.1761,                 1.3763,                0.75336,                0.92471,              0.0012338,              0.0012338,              0.0012338
                     72,                 1.1567,                  1.343,                 0.7635,                0.92045,                0.74437,                0.67293,                0.73979,                0.48712,                0.74418,                0.59252,                0.65909,                0.36179,                 1.1995,                 1.3938,                0.76078,                0.92576,              0.0012309,              0.0012309,              0.0012309
                     73,                 1.1281,                 1.3291,                0.75248,                0.91376,                0.76615,                0.68629,                0.74309,                0.48867,                0.73295,                0.63733,                 0.6797,                0.37284,                 1.2038,                 1.3804,                0.77239,                0.92973,              0.0012281,              0.0012281,              0.0012281
                     74,                 1.1539,                 1.3074,                0.76036,                0.91586,                0.75125,                0.67402,                0.73876,                0.49223,                0.71576,                  0.629,                0.68321,                0.37421,                 1.1898,                 1.3971,                0.79354,                0.92869,              0.0012253,              0.0012253,              0.0012253
                     75,                 1.1379,                 1.3047,                0.73449,                0.92031,                0.76269,                0.67387,                0.74068,                0.48835,                0.74417,                0.61093,                0.68329,                0.36631,                  1.197,                 1.3813,                0.76526,                0.93634,              0.0012225,              0.0012225,              0.0012225
                     76,                 1.1642,                 1.3484,                0.75817,                0.91937,                0.78566,                0.63784,                0.72747,                 0.4732,                0.73665,                0.59622,                0.66195,                0.34755,                 1.2459,                 1.4276,                 0.8096,                0.94002,              0.0012196,              0.0012196,              0.0012196
                     77,                 1.1474,                 1.3401,                0.74677,                0.92042,                0.78501,                0.67358,                0.73252,                0.48846,                0.76784,                0.63492,                0.68859,                0.37846,                 1.1991,                 1.3858,                0.79626,                0.93975,              0.0012168,              0.0012168,              0.0012168
                     78,                 1.1548,                 1.3267,                0.75283,                0.91974,                0.76374,                0.68199,                0.74631,                0.49524,                0.72433,                0.64606,                0.69837,                0.37438,                 1.1839,                  1.371,                0.75943,                 0.9302,               0.001214,               0.001214,               0.001214
                     79,                 1.1538,                 1.2935,                0.74656,                0.91135,                0.76292,                0.68241,                0.75028,                 0.5063,                0.72569,                0.64092,                0.69498,                0.38011,                 1.1851,                 1.3674,                0.75453,                0.92842,              0.0012111,              0.0012111,              0.0012111
                     80,                 1.1629,                 1.3121,                0.76971,                0.91421,                0.73626,                0.67062,                0.73716,                0.47843,                0.70679,                0.60889,                0.65965,                0.34429,                 1.2257,                 1.3784,                0.79873,                0.93509,              0.0012083,              0.0012083,              0.0012083
                     81,                 1.1559,                 1.2864,                0.73753,                0.91845,                0.77374,                 0.6821,                 0.7465,                 0.4972,                0.74375,                0.64568,                 0.7012,                0.38722,                 1.1851,                 1.3876,                0.75976,                0.92799,              0.0012055,              0.0012055,              0.0012055
                     82,                 1.1275,                 1.3048,                0.74002,                0.91585,                0.68776,                0.61829,                0.70838,                0.46868,                0.68508,                0.56831,                 0.6494,                0.35584,                 1.1865,                 1.3719,                0.87371,                0.92902,              0.0012026,              0.0012026,              0.0012026
                     83,                   1.15,                 1.3466,                0.74494,                0.91893,                0.74077,                 0.6907,                0.74247,                0.47741,                0.71295,                0.62526,                 0.6848,                0.35991,                 1.2231,                 1.3903,                0.76498,                0.93031,              0.0011998,              0.0011998,              0.0011998
                     84,                 1.1492,                 1.3589,                 0.7586,                 0.9182,                0.75316,                0.67491,                0.74299,                0.48276,                0.72701,                0.63301,                0.68944,                0.37319,                 1.1971,                 1.3822,                0.78994,                0.93189,               0.001197,               0.001197,               0.001197
                     85,                 1.1188,                 1.2952,                  0.725,                0.90939,                0.76761,                0.65627,                0.73471,                0.48924,                0.74926,                0.59779,                0.67534,                0.36752,                 1.2005,                 1.4167,                0.77152,                0.93312,              0.0011942,              0.0011942,              0.0011942
                     86,                  1.138,                 1.3089,                0.75065,                0.91041,                0.74021,                0.70023,                0.74615,                0.48729,                0.69493,                0.63898,                0.67066,                0.35477,                 1.1823,                  1.368,                0.77136,                0.93494,              0.0011913,              0.0011913,              0.0011913
                     87,                 1.1519,                 1.3088,                 0.7641,                0.91996,                0.78142,                0.67757,                 0.7442,                0.49106,                 0.7366,                0.63467,                0.68908,                0.37715,                 1.1856,                 1.3987,                  0.764,                0.92875,              0.0011885,              0.0011885,              0.0011885
                     88,                 1.1277,                 1.3001,                0.74491,                0.91651,                 0.7347,                0.66439,                0.73266,                0.49249,                0.70718,                0.61596,                0.67541,                0.36983,                 1.1901,                 1.4068,                0.78312,                0.93753,              0.0011857,              0.0011857,              0.0011857
                     89,                   1.11,                  1.313,                0.72548,                0.90554,                0.74983,                0.67698,                0.75411,                0.49666,                0.75072,                0.60252,                0.68606,                0.36924,                 1.1846,                 1.3714,                0.75504,                0.93029,              0.0011828,              0.0011828,              0.0011828
                     90,                 1.1282,                 1.2827,                0.71891,                0.91948,                0.73161,                0.67164,                0.73363,                0.48865,                0.70617,                0.61218,                 0.6704,                0.36285,                 1.1843,                 1.3603,                0.77149,                0.93535,                0.00118,                0.00118,                0.00118
                     91,                 1.1051,                 1.2784,                0.72368,                0.90608,                0.76128,                0.69155,                  0.752,                0.50154,                0.75364,                0.61834,                0.69364,                0.37793,                 1.1967,                 1.3882,                 0.7506,                0.92957,              0.0011772,              0.0011772,              0.0011772
                     92,                 1.1165,                 1.2993,                0.74807,                0.90856,                 0.7789,                0.69232,                0.75639,                 0.5061,                0.74302,                0.63187,                0.68482,                0.38216,                 1.1876,                 1.3556,                0.75631,                0.93242,              0.0011744,              0.0011744,              0.0011744
                     93,                 1.1347,                 1.2982,                0.73413,                0.91264,                0.77362,                0.66671,                0.74781,                0.49529,                0.74804,                0.61522,                0.68014,                0.37175,                 1.1904,                 1.3703,                0.76528,                0.93833,              0.0011715,              0.0011715,              0.0011715
